"created_time","account","post_type","icon","tag_id","tag_name","impressions","impressionsVmedian","impressionsVmean","engagements","engagementsVmedian","engagementsVmean","engagementRate","engrtVmedian","engrtVmean","postClicks","shares","brand","program","accountType","post","perma_link","text","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag11","campaignID"
2025-09-25,"RMI Brand","Twitter",3,3926918,"nycw25",394,-0.27,-0.388,11,-0.621,-0.706,0.028,-0.404,-0.556,6,0,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1971279814595051683","RMI CEO @Jon_Creyts: ""Eighty percent of the world is still very much moving on the fast track toward clean energy.""

We’re working with decision makers and industry leaders to transition to a cleaner, more prosperous, and more secure energy future for all: https://t.co/CQoB17PleB https://t.co/Vatvy8qDMa","[1] 13. Empower Leaders To Fast-Track Clean Energy Trans","Jon Creyts","[3] Real People","[2] RMI Brand","nycw25","[3] Text Graphic","[4] RMI Landing Page",NA,NA,NA,NA,"nycw25"
2025-09-24,"RMI Brand","Facebook",2,3926918,"nycw25",429,-0.085,-0.294,13,-0.133,-0.52,0.03,-0.143,-0.189,5,3,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1263701242457091","Nations continue to miss their commitments to cut global warming pollution. But, as countries slow down, big companies are speeding up — they’re cutting emissions, saving energy, and lowering costs. RMI is helping the private sector move faster by strengthening markets for sustainable products through aggregated demand, collective action, advocacy, and clean energy projects.  

RMI partners directly with companies to co-develop strategies and solutions, including how to decarbonize supply chains, design infrastructure, and optimize the clean energy grid. Through these collaborations, we help businesses accelerate innovation and tap into opportunities for clean solutions. 

We serve as implementers, conveners, advisors, and collaborators to help companies deliver and scale market-driven solutions across the energy system. Learn more about how we work with companies to move ambition to action: https://bit.ly/42LwxzX

#UNGA80 #UN80 #UnitedNations","[3] Digital Illustration","nycw25","[1] No outcome","[4] RMI Landing Page","Corporate","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-24,"RMI Brand","Twitter",3,3926918,"nycw25",680,0.26,0.056,32,0.103,-0.144,0.047,0,-0.254,25,2,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1970957190992212199","""Companies want to have a share in producing clean energy tech...and profit from the single largest capital formation in history."" — Sarah Ladislaw, RMI @ #ClimateWeekNYC w/ @Reuters + @C3Solutions_

Clean energy is a climate solution and global economic transformation. https://t.co/zz8DCXSYsU","[1] 13. Empower Leaders To Fast-Track Clean Energy Trans","nycw25","[4] Internal Article/ Blog","[3] Text Graphic","[2] RMI Policy",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-24,"RMI Brand","Twitter",3,3926918,"nycw25",445,-0.175,-0.309,7,-0.759,-0.813,0.016,-0.66,-0.746,4,0,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1970926344553877996","In the race to cut carbon pollution, companies are taking the lead over countries. At RMI, we partner with companies to co-develop strategies and solutions to help deliver and scale market-driven advanced energy solutions. https://t.co/mMClFTzoTM

#UNGA80 #UN80 #UnitedNations https://t.co/M2W3QZV9L4","[3] Digital Illustration","nycw25","[1] No outcome","Corporate","[4] RMI Landing Page","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-24,"RMI Brand","Facebook",2,3926918,"nycw25",44,-0.906,-0.928,6,-0.6,-0.779,0.136,2.886,2.676,3,1,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1263111035849445","Together, companies can strengthen markets for sustainable products through aggregated demand, collective action, advocacy, and clean energy projects.  

RMI partners directly with companies to co-develop strategies and solutions, including how to decarbonize supply chains, design infrastructure, and optimize the clean energy grid. Through these collaborations,  we are working to support sustainable businesses in reaching their goals and accelerating innovation opportunities and clean solutions to complex challenges. 

We serve as implementers, conveners, advisors, and collaborators to help companies deliver and scale market-driven solutions across the energy system. Learn more about how we work with companies to move ambition to action: https://bit.ly/42LwxzX","[3] Digital Illustration","nycw25","[1] No outcome","[4] RMI Landing Page","Corporate","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Facebook",2,3926918,"nycw25",421,-0.102,-0.308,11,-0.267,-0.594,0.026,-0.257,-0.297,3,2,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1262775919216290","Businesses trying to reduce their scope 3 emissions need to buy cleaner fuels and products such as steel, cement, aluminum, plastics, and fertilizers. But production of these clean inputs is only just getting started, meaning supply is limited and buying options are scarce. 

Corporate buyers and procurement teams hold the key to changing that. By showing a willingness to pay for cleaner materials and signing longer-term contracts, companies can give suppliers the confidence and financing they need to scale up production.  

Our new report, launched today at #GreenMarketsDay25 at #ClimateWeekNYC, breaks down the tools companies can use to accelerate this transition and illustrates how voluntary buyer action has helped scale other solutions such as CDR technology and sustainable aviation fuel. 

Here’s what RMI’s Josh Henretig had to say:  

""Acting early isn’t just about cutting emissions, it’s a strategic investment. First movers strengthen their brands, secure scarce supply, and help shape the future markets."" 

For more, read our report, Catalytic Procurement: How Corporations Can Lead the Green Commodity Transition 👉 https://bit.ly/4mrwi49","[1] 14. Drive Market For Climate Products And Services","nycw25","[4] RMI Report","[3] Text Graphic","[2] RMI Intelligence",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Twitter",3,3926918,"nycw25",461,-0.146,-0.284,14,-0.517,-0.626,0.03,-0.362,-0.524,9,2,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1970607443248914463","Cutting Scope 3 emissions means companies need to buy cleaner materials, but supplies are scarce for these nascent technologies. Corporate buyers can pool demand &amp; back long-term contracts, making them key to unlocking new markets.

Our report shows how → https://t.co/HTGOFUDta5 https://t.co/5bi6Wmv4zX","[1] 14. Drive Market For Climate Products And Services","nycw25","[4] RMI Report","[3] Text Graphic","[2] RMI Intelligence",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Instagram",4,3926918,"nycw25",947,0.07,-0.023,11,-0.421,-0.484,0.012,-0.4,-0.455,NA,0,1,0,"RMI Brand","Post","https://www.instagram.com/p/DO9ddekjGZK/","Businesses trying to reduce their scope 3 emissions need to buy cleaner fuels and products such as steel, cement, aluminum, plastics, and fertilizers. But production of these clean inputs is only just getting started, meaning supply is limited and buying options are scarce. 

Corporate buyers and procurement teams hold the key to changing that. By showing a willingness to pay for cleaner materials and signing longer-term contracts, companies can give suppliers the confidence and financing they need to scale up production. 

Our new report, launched today at #GreenMarketsDay25 at #ClimateWeekNYC, breaks down the tools companies can use to accelerate this transition and illustrates how voluntary buyer action has helped scale other solutions such as CDR technology and sustainable aviation fuel. 

Here’s what RMI’s Josh Henretig had to say: 

""Acting early isn’t just about cutting emissions, it’s a strategic investment. First movers strengthen their brands, secure scarce supply, and help shape the future markets."" 

For more, read our report, Catalytic Procurement: How Corporations Can Lead the Green Commodity Transition, at the link in our bio.","[1] 14. Drive Market For Climate Products And Services","nycw25","[3] Text Graphic","[4] RMI Report","[2] RMI Intelligence",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Facebook",2,3926918,"nycw25",642,0.369,0.056,34,1.267,0.255,0.053,0.514,0.432,13,4,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1262727435887805","Improving efficiency reduces waste, costs, and pollution while still allowing us to meet our needs.  

Delivering fully on the promise of energy efficiency means creating not just better products, buildings, and factories, but upgrading broader systems such as cities, industrial hubs, and global supply chains. Part of that shift will include upgrading from fossil fuel technologies to advanced energy and electrification solutions, which are often two to four times more efficient.  

Coupled with a rapid transition to advanced energy, this holistic approach — evaluating not just a single system but how multiple systems can work better in harmony  — can make the transition faster, more affordable, and more widely beneficial. https://bit.ly/46AV4sG","[3] Digital Illustration","nycw25","[3] Text Graphic","[1] 19. Adoption Of Energy Efficiency & Demand Mgmt","[4] RMI Hub Page","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Instagram",4,3926918,"nycw25",894,0.01,-0.077,17,-0.105,-0.202,0.019,-0.05,-0.136,NA,1,1,0,"RMI Brand","Post","https://www.instagram.com/p/DO8_Iwvjo86/","Improving efficiency reduces waste, costs, and pollution while still allowing us to meet our needs. 

Delivering fully on the promise of energy efficiency means creating not just better products, buildings, and factories, but upgrading broader systems such as cities, industrial hubs, and global supply chains. Part of that shift will include upgrading from fossil fuel technologies to advanced energy and electrification solutions, which are often two to four times more efficient. 

Coupled with a rapid transition to advanced energy, this holistic approach — evaluating not just a single system but how multiple systems can work better in harmony — can make the transition faster, more affordable, and more widely beneficial. Link in bio for more.","[3] Digital Illustration","nycw25","[3] Text Graphic","[1] 19. Adoption Of Energy Efficiency & Demand Mgmt","[2] RMI Brand","[4] RMI Hub Page",NA,NA,NA,NA,NA,"nycw25"
2025-09-23,"RMI Brand","Twitter",3,3926918,"nycw25",395,-0.268,-0.387,16,-0.448,-0.572,0.041,-0.128,-0.349,13,1,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1970515549114265617","Today’s energy system is incredibly inefficient ― wasting money and resources before any value is created.
 
Improving energy efficiency and deploying advanced energy solutions can cut waste, costs, and pollution while still supporting our needs. https://t.co/3ghv5e1lEx https://t.co/EVvApkiSDf","[3] Digital Illustration","[3] RMIer(s)","[3] Real People","[2] RMI Brand","nycw25","[3] Text Graphic","[1] 19. Adoption Of Energy Efficiency & Demand Mgmt","[4] RMI Hub Page","Amory Lovins",NA,NA,"nycw25"
2025-09-22,"RMI Brand","Facebook",2,3926918,"nycw25",470,0.002,-0.227,14,-0.067,-0.483,0.03,-0.143,-0.189,4,3,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/videos/1495781774956284","Construction on the Empire State Building, one of the world’s first supertall buildings, began in 1930. Nearly a century later, the architectural triumph is pushing the frontiers of energy efficiency.  

Empire State Realty Trust and RMI were able to reduce the Empire State Building’s energy consumption by 50% thanks to deep retrofits in the late 2000s. As part of the major upgrade, some 6,500 windows were remanufactured on site, to let in light but reflect heat. By cutting the building’s heating and cooling needs, the improvements helped net $17 million in savings. 

The Empire State Buildings savings offer other cities and states a model to cut waste and pollution in their own buildings: https://bit.ly/3IAhDWs","[4] Watch Video","nycw25","[3] Long Video","[1] 4. Net-Zero Buildings In US","Amory Lovins","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-22,"RMI Brand","Twitter",3,3926918,"nycw25",2998,4.557,3.654,59,1.034,0.578,0.02,-0.574,-0.683,44,6,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1970160424067711171","Guided by advice from RMI, deep retrofits to the @empirestatebldg helped @ESRTsocial save $17 million and reduce energy consumption by 50%. 

🏙️ https://t.co/vaZQExuu5W

#ClimateWeekNYC","[1] 4. Net-Zero Buildings In US","[2] RMI Brand","[2] RMI Buildings","[4] Watch Video","nycw25","[3] Long Video","Amory Lovins",NA,NA,NA,NA,"nycw25"
2025-09-18,"RMI Brand","Facebook",2,3926918,"nycw25",1147,1.446,0.887,55,2.667,1.03,0.048,0.371,0.297,17,7,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1258353096325239","🌍 Congratulations to RMI CEO Jon Creyts, recognized today as a global leader in sustainability!  

Forbes’ 2025 Sustainability Leaders List celebrates those who are making bold, innovative, and substantial contributions to sustainability efforts around the world — driving real progress in environmental issues and reshaping industries for a zero-carbon future.  

As the world gathers for #ClimateWeekNYC, this recognition underscores Jon’s vision and commitment to advance market-driven solutions to the climate crisis. At RMI, Jon leads a global portfolio of 300+ projects spanning 50 countries. A few of his career highlights:

• Cofounding Third Derivative, the world’s largest early-stage climate tech accelerator, now home to 268 startups that have raised $2.6 billion to date, to scale gigaton-level climate solutions. 

• Partnering with public and private entities in India to enable over 800 million zero-carbon deliveries via electric 2- and 3-wheel rideshares and courier services. 

• Catalyzing demand for green steel, cement, shipping fuels, and sustainable aviation fuel through buyer coalitions with 75+ leading companies. 

• Pioneering access to clean energy via batteries and solar minigrids in the Caribbean, Nigeria, India, and beyond. 

• Driving innovation with the Global Cooling Prize, resulting in air conditioners that are 5x more efficient and now in production. 

Jon’s recognition reflects not only his vision but also the collective work of RMI and our partners to scale climate solutions at speed. Join us in celebrating Jon’s leadership and the progress being made toward a clean, prosperous, zero-carbon future. 
#ForbesSustainabilityLeaders 
https://bit.ly/3VWl10R","Jon Creyts","[3] RMIer(s)","[3] Real People","[3] Photo","[4] RMI In Media","[2] RMI Brand","nycw25","[3] Text Graphic",NA,NA,NA,"nycw25"
2025-09-18,"RMI Brand","Twitter",3,3926918,"nycw25",1219,1.259,0.892,67,1.31,0.791,0.055,0.17,-0.127,47,3,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1968781855726944361","Congratulations to @Jon_Creyts on being named to the 2025 #ForbesSustainabilityLeaders! @Forbes

As #ClimateWeekNYC begins, this recognition highlights Jon’s leadership in scaling bold, market-driven solutions for a clean, prosperous, zero-carbon future. https://t.co/4pFCArd0Tb https://t.co/ilKbRAvfan","Jon Creyts","[3] RMIer(s)","[3] Real People","[4] RMI In Media","[3] Photo","[2] RMI Brand","nycw25","[3] Text Graphic",NA,NA,NA,"nycw25"
2025-09-17,"RMI Brand","Twitter",3,3926918,"nycw25",2066,2.829,2.207,37,0.276,-0.011,0.018,-0.617,-0.714,21,3,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1968120513621881266","RMI will be at #ClimateWeekNYC to highlight the market-based solutions and strategies that drive the world’s transition to more efficient, cost-effective, and secure clean energy options, both locally and globally. 

We hope to see you there! https://t.co/CQoB17PleB https://t.co/amnEmpA3xf","nycw25","[4] RMI Landing Page","[4] Pre Event/ Webinar","[2] RMI Brand","[3] Animation",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-17,"RMI Brand","Facebook",2,3926918,"nycw25",505,0.077,-0.169,9,-0.4,-0.668,0.018,-0.486,-0.514,2,2,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/videos/3350405081776469","RMI is joining other organizations, business leaders, and decision makers at #ClimateWeekNYC to highlight the market-based solutions and strategies that drive the world’s shift to more efficient, prosperous, and secure clean energy options, both locally and globally.  

To support the ongoing transformation of the energy system, we’re focusing our conversations around: 

💵 Efficiency investments that can help companies cut costs, win market share, boost profits, and reduce vulnerability to volatile energy and material prices.

💪 How corporations that stick with their clean energy commitments will reap the benefits of cost savings, reduced waste, and improved reliability and resilience. 

📈  The opportunities for countries and companies to use fast-growing energy technology markets to maintain a competitive edge, enhance energy security, and grow both profits and prosperity. 

We hope to see you there! https://bit.ly/3In29oA","nycw25","[4] RMI Landing Page","[4] Pre Event/ Webinar","[3] Animation","[2] RMI Brand",NA,NA,NA,NA,NA,NA,"nycw25"
2025-08-13,"RMI Brand","Facebook",2,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",690,0.471,0.135,62,3.133,1.288,0.09,1.571,1.432,28,7,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1227560459404503","Affordable electricity is a concern around the world, with good cause: US natural gas prices are expected to double between 2024 and 2026, according to yesterday’s short-term energy outlook from the US Energy Information Administration. This trend is flatter overseas, but it is still an example of gas power’s volatility.  

On the other hand, clean energy is becoming even more affordable, as shown by recent United Nations and International Renewable Energy Agency (IRENA) reports. More than 90 percent of last year’s global projects were cheaper than their fossil fuel alternatives on a levelized cost basis. 

With electricity demand on the rise, it is more important than ever to make choices that cut costs, use energy efficiently, and promote affordability over volatility. https://bit.ly/3JfPV1c","[4] Internal Article/ Blog","[3] Figure/ Graph","[1] 17. Energy Transition Narrative [transition-narrative]","[2] RMI Strategy",NA,NA,NA,NA,NA,NA,NA,"transition-narrative"
2025-08-13,"RMI Brand","Twitter",3,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",1041,0.93,0.616,78,1.69,1.086,0.075,0.596,0.19,42,9,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1955727367764119727","US natural gas prices are expected to climb. By contrast, clean energy is becoming even more affordable. 

As electricity demand grows, it is crucial to make choices that cut costs, use energy efficiently, and promote affordability over volatility: https://t.co/CayshWyO4p https://t.co/jZN3q7I6mv","[4] Internal Article/ Blog","[1] 17. Energy Transition Narrative [transition-narrative]","[3] Figure/ Graph","[2] RMI Strategy",NA,NA,NA,NA,NA,NA,NA,"transition-narrative"
2025-08-13,"RMI Brand","Instagram",4,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",893,0.009,-0.078,23,0.211,0.08,0.026,0.3,0.182,NA,1,1,0,"RMI Brand","Post","https://www.instagram.com/p/DNTtrR4Jlhi/","Affordable electricity is a concern around the world, with good cause: US natural gas prices are expected to double between 2024 and 2026, according to yesterday’s short-term energy outlook from the US Energy Information Administration. This trend is flatter overseas, but it is still an example of gas power’s volatility. 

On the other hand, clean energy is becoming even more affordable, as shown by recent United Nations and International Renewable Energy Agency (IRENA) reports. More than 90 percent of last year’s global projects were cheaper than their fossil fuel alternatives on a levelized cost basis. 

With electricity demand on the rise, it is more important than ever to make choices that cut costs, use energy efficiently, and promote affordability over volatility. 

Click the link in our bio to learn more.","[4] Internal Article/ Blog","[3] Figure/ Graph","[1] 17. Energy Transition Narrative [transition-narrative]","[2] RMI Strategy",NA,NA,NA,NA,NA,NA,NA,"transition-narrative"
2025-08-05,"RMI Brand","Twitter",3,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",422,-0.218,-0.345,30,0.034,-0.198,0.071,0.511,0.127,19,2,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1952752734332952931","Thanks @RebeccaSolnit for citing our research on the energy wasted in producing, transporting, &amp; using fossil fuels. We agree: the clean energy transition is “a better way to do everything.” 

Her @Guardian article: https://t.co/tp2uDOoI5c 

Our research: https://t.co/4XI0SYLrfL https://t.co/JCv27g6usW","[4] Internal Article/ Blog","[3] Text Graphic","[1] 17. Energy Transition Narrative [transition-narrative]","[4] RMI In Media","[2] RMI Strategy",NA,NA,NA,NA,NA,NA,"transition-narrative"
